epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2245.73,1.41085,0.6239,0.98032,0.90577,0.86856,0.92439,0.59566,1.36345,0.58687,0.98225,0.000990365,0.000990365,0.000990365
43,2292.06,1.40925,0.62269,0.98167,0.91977,0.86261,0.92605,0.60039,1.35844,0.58582,0.98169,0.000973861,0.000973861,0.000973861
44,2338.35,1.40087,0.61712,0.97799,0.91257,0.86122,0.92468,0.59832,1.36134,0.58455,0.98234,0.000957358,0.000957358,0.000957358
45,2385,1.40442,0.61536,0.98022,0.91209,0.86344,0.92417,0.60036,1.35584,0.5829,0.98211,0.000940855,0.000940855,0.000940855
46,2431.74,1.40388,0.61549,0.97632,0.90917,0.86461,0.92577,0.60219,1.35433,0.58306,0.97868,0.000924352,0.000924352,0.000924352
47,2478.5,1.39895,0.61285,0.9774,0.91167,0.86675,0.9247,0.60137,1.35529,0.57638,0.98051,0.000907848,0.000907848,0.000907848
48,2525.21,1.39499,0.61118,0.97619,0.90976,0.86754,0.92579,0.60269,1.35818,0.57815,0.98041,0.000891345,0.000891345,0.000891345
49,2572.51,1.39386,0.60917,0.97598,0.91394,0.86771,0.92864,0.60513,1.35261,0.57325,0.97943,0.000874842,0.000874842,0.000874842
50,2618.92,1.39649,0.6098,0.9756,0.91637,0.86697,0.92813,0.60558,1.34949,0.57291,0.97827,0.000858338,0.000858338,0.000858338
51,2665.86,1.39543,0.60869,0.97342,0.91333,0.87343,0.92901,0.60661,1.34925,0.57154,0.9776,0.000841835,0.000841835,0.000841835
52,2713.38,1.38336,0.60557,0.97351,0.91477,0.87193,0.93008,0.6031,1.35289,0.57455,0.97864,0.000825332,0.000825332,0.000825332
53,2760.64,1.38855,0.60541,0.97668,0.90798,0.8719,0.92762,0.60329,1.35221,0.57386,0.97945,0.000808828,0.000808828,0.000808828
54,2807.22,1.38389,0.6037,0.97443,0.91808,0.87098,0.92786,0.60484,1.35259,0.57071,0.97933,0.000792325,0.000792325,0.000792325
55,2854.7,1.38408,0.60154,0.97634,0.90697,0.87779,0.9304,0.60596,1.35111,0.57188,0.97864,0.000775822,0.000775822,0.000775822
56,2901.29,1.38157,0.5983,0.97156,0.91556,0.86674,0.92897,0.60581,1.35133,0.57016,0.97648,0.000759318,0.000759318,0.000759318
57,2947.68,1.37719,0.59733,0.97247,0.91577,0.87125,0.9295,0.6052,1.3483,0.56708,0.97688,0.000742815,0.000742815,0.000742815
58,2995.16,1.37387,0.59386,0.96991,0.91327,0.87296,0.93028,0.60813,1.34843,0.56674,0.97655,0.000726312,0.000726312,0.000726312
59,3041.09,1.37219,0.59263,0.97043,0.91305,0.87615,0.93111,0.60585,1.34802,0.56331,0.97754,0.000709809,0.000709809,0.000709809
60,3087.4,1.37054,0.59281,0.97058,0.91171,0.87027,0.92805,0.60541,1.35195,0.56817,0.97808,0.000693305,0.000693305,0.000693305
61,3135.43,1.37229,0.59278,0.97068,0.91598,0.86956,0.9294,0.60777,1.34679,0.56305,0.97602,0.000676802,0.000676802,0.000676802
62,3181.67,1.37329,0.58999,0.9688,0.91272,0.87695,0.93127,0.60886,1.34983,0.56318,0.9768,0.000660299,0.000660299,0.000660299
63,3228.97,1.36438,0.58754,0.96825,0.91047,0.87634,0.92946,0.60868,1.35036,0.5636,0.97671,0.000643795,0.000643795,0.000643795
64,3275.45,1.36587,0.58759,0.96927,0.9093,0.87589,0.9298,0.60829,1.34687,0.56105,0.97489,0.000627292,0.000627292,0.000627292
65,3322.03,1.36697,0.58632,0.96592,0.91743,0.87318,0.93163,0.60834,1.34521,0.56039,0.97589,0.000610789,0.000610789,0.000610789
66,3368.93,1.36336,0.58462,0.96245,0.91276,0.87542,0.93024,0.6091,1.34786,0.55769,0.9768,0.000594286,0.000594286,0.000594286
67,3416.19,1.36127,0.58399,0.96318,0.91704,0.87493,0.92991,0.60954,1.34669,0.55905,0.97537,0.000577782,0.000577782,0.000577782
68,3470.31,1.36738,0.58448,0.96326,0.91594,0.87727,0.93196,0.60928,1.34757,0.5597,0.97589,0.000561279,0.000561279,0.000561279
69,3534.36,1.35895,0.58091,0.96294,0.91132,0.88267,0.93173,0.60894,1.34513,0.55783,0.97498,0.000544776,0.000544776,0.000544776
